Threshold_People,Exceedance_Probability,Hits,SE,CI_95
100000,0.09343,9343,0.0009203305661554439,0.0018038479096646701
250000,0.07771,7771,0.0008465881873732943,0.0016593128472516569
500000,0.06067,6067,0.0007549115915125427,0.0014796267193645835
1000000,0.02282,2282,0.00047222079157953226,0.0009255527514958832
2000000,0.00277,277,0.00016620249998119764,0.00032575689996314737
3000000,0.00041,41,6.401811462390937e-05,0.00012547550466286236
4000000,0.00015,15,3.872692861562868e-05,7.590478008663221e-05
6000000,3e-05,3,1.732024826611905e-05,3.394768660159334e-05
8000000,2e-05,2,1.4141994201667599e-05,2.7718308635268494e-05
