Threshold_People,Baseline_P,WithStations_P,Reduction_factor
100000,0.09234345440948775,0.008722064239357454,10.587339404449354
250000,0.07729707950293588,0.006009950171085029,12.861517533843505
500000,0.06122142039559665,0.0022943923766659317,26.683064770534067
1000000,0.023938778220832044,0.0005597328486896195,42.768221084173796
2000000,0.0028472062151868095,0.00011054477544913835,25.75613549911103
3000000,0.0004454295894428179,2.9093814647277453e-05,15.31011298597451
4000000,0.00010875471001683227,1.1701535933718128e-05,9.294054270555556
6000000,1.7487709032081688e-05,2.658663997425152e-06,6.57763036209844
8000000,5.223305406783677e-06,8.770102369403551e-07,5.9558089367421045
EXPECTED_AFFECTED,67663.80859,4136.3794,16.35822105438394
