Threshold_People,Exceedance_Probability,SE,CI_95
100000,0.09234345440948775,0.0004440090459106328,0.0008702577299848403
250000,0.07729707950293588,0.000382361691865585,0.0007494289160565466
500000,0.06122142039559665,0.00030505342169746407,0.0005979047065270296
1000000,0.023938778220832044,9.748992456346637e-05,0.0001910802521443941
2000000,0.0028472062151868095,1.3055487319497474e-05,2.558875514621505e-05
3000000,0.0004454295894428179,2.6281360087684474e-06,5.151146577186157e-06
4000000,0.00010875471001683227,6.495999422967986e-07,1.2732158869017254e-06
6000000,1.7487709032081688e-05,1.0654636698263344e-07,2.0883087928596154e-07
8000000,5.223305406783677e-06,3.5126605237711985e-08,6.88481462659155e-08
