n,estimate,ci95
48000,2.0833333333333333e-05,4.083290798389574e-05
48500,2.0618556701030927e-05,4.0411954509490236e-05
49000,2.0408163265306123e-05,3.99995918346522e-05
49500,2.0202020202020203e-05,3.9595559634751744e-05
50000,2e-05,3.919960799803998e-05
50500,1.9801980198019803e-05,3.881149691016507e-05
51000,1.9607843137254903e-05,3.8430995769010396e-05
51500,1.941747572815534e-05,3.8057882927794385e-05
52000,1.923076923076923e-05,3.7691945264529745e-05
52500,1.9047619047619046e-05,3.7332977776084634e-05
53000,1.8867924528301888e-05,3.698078319522154e-05
53500,1.869158878504673e-05,3.6635171629110145e-05
54000,1.8518518518518518e-05,3.629596021792281e-05
54500,1.8348623853211008e-05,3.596297281222272e-05
55000,1.8181818181818182e-05,3.56360396679489e-05
55500,1.801801801801802e-05,3.531499715788833e-05
56000,1.785714285714286e-05,3.4999687498604895e-05
56500,1.7699115044247787e-05,3.468995849186739e-05
57000,1.7543859649122806e-05,3.4385663279686577e-05
57500,1.7391304347826085e-05,3.408666011213281e-05
58000,1.7241379310344828e-05,3.379281212716285e-05
58500,1.7094017094017095e-05,3.3503987141737724e-05
59000,1.694915254237288e-05,3.322005745356145e-05
59500,1.680672268907563e-05,3.294089965281613e-05
60000,1.6666666666666667e-05,3.2666394443310176e-05
60500,1.652892561983471e-05,3.239642647249515e-05
61000,1.639344262295082e-05,3.21308841698424e-05
61500,1.6260162601626015e-05,3.186965959310363e-05
62000,1.6129032258064517e-05,3.16126482820105e-05
62500,1.6e-05,3.135974911899647e-05
63000,1.5873015873015872e-05,3.111086419655104e-05
63500,1.5748031496062993e-05,3.086589869084052e-05
64000,1.5625e-05,3.062476074125289e-05
64500,1.5503875968992248e-05,3.0387361335545102e-05
65000,1.5384615384615384e-05,3.01536142002913e-05
65500,1.5267175572519083e-05,2.9923435696348582e-05
66000,1.5151515151515151e-05,2.9696744719074343e-05
66500,1.5037593984962406e-05,2.9473462603045003e-05
67000,1.4925373134328359e-05,2.9253513031041046e-05
67500,1.4814814814814815e-05,2.9036821947077168e-05
68000,1.4705882352941177e-05,2.8823317473269257e-05
68500,1.4598540145985402e-05,2.8612929830342232e-05
69000,1.4492753623188405e-05,2.8405591261594044e-05
69500,1.4388489208633093e-05,2.8201235960141772e-05
70000,1.4285714285714285e-05,2.7999799999285706e-05
70500,1.4184397163120568e-05,2.7801221265836688e-05
71000,1.4084507042253522e-05,2.7605439396260517e-05
71500,1.3986013986013986e-05,2.7412395715501665e-05
72000,1.388888888888889e-05,2.7222033178355945e-05
72500,1.3793103448275862e-05,2.7034296313269093e-05
73000,1.3698630136986302e-05,2.6849131168445077e-05
73500,1.3605442176870749e-05,2.6666485260153944e-05
74000,1.3513513513513513e-05,2.6486307523135344e-05
74500,1.3422818791946309e-05,2.6308548262999216e-05
75000,1.3333333333333333e-05,2.6133159110530366e-05
75500,1.324503311258278e-05,2.5960092977808858e-05
76000,1.3157894736842106e-05,2.578930401606238e-05
76500,1.30718954248366e-05,2.562074757517149e-05
77000,1.2987012987012988e-05,2.54543801647526e-05
77500,1.2903225806451613e-05,2.5290159416747337e-05
78000,1.282051282051282e-05,2.512804404945085e-05
78500,1.2738853503184714e-05,2.4967993832914758e-05
79000,1.2658227848101267e-05,2.480996955566395e-05
79500,1.2578616352201259e-05,2.4653932992669314e-05
80000,1.25e-05,2.4499846874521482e-05
80500,1.2422360248447205e-05,2.4347674857753406e-05
81000,2.4691358024691357e-05,3.4220053846465455e-05
81500,2.4539877300613496e-05,3.4010117441814216e-05
82000,2.4390243902439026e-05,3.3802741205996407e-05
82500,2.4242424242424244e-05,3.359787859105203e-05
83000,2.4096385542168674e-05,3.339548417064519e-05
83500,2.3952095808383234e-05,3.319551360648289e-05
84000,2.380952380952381e-05,3.2997923615933215e-05
84500,2.3668639053254438e-05,3.280267194079311e-05
85000,2.3529411764705884e-05,3.26097173171585e-05
85500,2.3391812865497078e-05,3.2419019446351514e-05
86000,2.325581395348837e-05,3.223053896686195e-05
86500,2.3121387283236996e-05,3.2044237427261825e-05
87000,2.2988505747126437e-05,3.186007726005384e-05
87500,2.2857142857142858e-05,3.167802175641655e-05
88000,2.2727272727272726e-05,3.1498035041810405e-05
88500,2.2598870056497175e-05,3.132008205241079e-05
89000,2.2471910112359552e-05,3.1144128512335314e-05
89500,2.23463687150838e-05,3.097014091163455e-05
90000,2.2222222222222223e-05,3.079808648501634e-05
90500,2.2099447513812153e-05,3.0627933191275356e-05
91000,2.1978021978021977e-05,3.0459649693400893e-05
91500,2.185792349726776e-05,3.0293205339336696e-05
92000,2.173913043478261e-05,3.0128570143368345e-05
92500,2.162162162162162e-05,2.996571476811415e-05
93000,2.150537634408602e-05,2.9804610507097107e-05
93500,2.1390374331550803e-05,2.9645229267875916e-05
94000,2.1276595744680852e-05,2.9487543555714426e-05
94500,2.1164021164021164e-05,2.9331526457769527e-05
95000,2.105263157894737e-05,2.9177151627778298e-05
95500,2.094240837696335e-05,2.9024393271226245e-05
96000,2.0833333333333333e-05,2.887322613097899e-05
96500,2.072538860103627e-05,2.872362547336066e-05
97000,2.0618556701030927e-05,2.8575567074662825e-05
97500,2.0512820512820512e-05,2.8429027208068523e-05
98000,2.0408163265306123e-05,2.828398263097663e-05
98500,2.030456852791878e-05,2.81404105727122e-05
99000,2.0202020202020203e-05,2.7998288722609292e-05
99500,2.0100502512562815e-05,2.7857595218453035e-05
100000,2e-05,2.7718308635268494e-05
