Threshold_People,Exceedance_Probability,SE,CI_95,Theta_Used,ESS
100000,0.05534669816050818,0.0005619729404809034,0.0011014669633425708,2.0,1778.6784616700345
250000,0.04816969427467906,0.00045360714928463643,0.0008890700125978874,2.0,1778.6784616700345
500000,0.035583173836615474,0.0003666455842589082,0.0007186253451474601,2.0,1778.6784616700345
1000000,0.014934422519925309,0.00017909659066302433,0.0003510293176995277,2.0,1778.6784616700345
2000000,0.002250079167765656,5.255532023287377e-05,0.00010300842765643258,2.5,89.57688974373849
3000000,0.0012111365049277012,3.259065266072821e-05,6.387767921502729e-05,2.0,1778.6784616700345
4000000,0.0005177895626866479,1.723483924208083e-05,3.378028491447843e-05,2.5,89.57688974373849
6000000,7.992493504238299e-05,5.297329238878112e-06,1.0382765308201099e-05,4.0,13.473283867849744
8000000,7.514322307008973e-06,1.2219859816011928e-06,2.395092523938338e-06,2.0,1778.6784616700345
