Threshold_People,Baseline_P,WithStations_P,Reduction_factor
100000,0.05638184656562776,0.0034414019046560113,16.38339494417856
250000,0.048387887715765014,0.002995397777889751,16.154077456068002
500000,0.03511047830828406,2.638632628840925e-05,1330.631552286499
1000000,0.014960791663331304,1.9000273598224742e-05,787.3987490753365
2000000,0.0022615295490467165,1.3587917222008525e-05,166.43680647271592
3000000,0.0012235364465812547,1.2307702282291344e-05,99.412255717439
4000000,0.0004937992752290988,1.689244304737248e-06,292.31963301241166
6000000,7.88109101496491e-05,5.826801259332628e-07,135.25587477935656
8000000,8.45172994716197e-06,1.5286141177491367e-07,55.29014712756302
EXPECTED_AFFECTED,43991.34733,1050.97796,41.85753555669236
