Threshold_People,Exceedance_Probability,Hits,SE,CI_95
100000,0.05603,5603,0.0007272595073287114,0.0014254286343642745
250000,0.04878,4878,0.0006811792099000086,0.001335111251404017
500000,0.03568,3568,0.000586574271512142,0.0011496855721637982
1000000,0.01466,1466,0.000380066894112076,0.000744931112459669
2000000,0.00214,214,0.00014613077704576816,0.0002864163230097056
3000000,0.00103,103,0.00010143663539372746,0.00019881580537170582
4000000,0.00045,45,6.706694416774929e-05,0.0001314512105687886
6000000,6e-05,6,2.4494162569885914e-05,4.800855863697639e-05
8000000,0.0,0,0.0,3e-05
